year,cluster_rank,centroid_lat,centroid_lon,centroid_depth,avg_mag,start_time,end_time,event_count
1988,2,29.515,81.388,33.0,4.6,1988-01-23 15:37:29.390000+00:00,1988-12-02 16:59:13.310000+00:00,2
1988,3,29.055999999999997,81.53833333333334,97.3,4.366666666666666,1988-03-13 11:13:49.550000+00:00,1988-12-15 23:14:24.520000+00:00,3
1988,4,27.6935,85.75399999999999,28.05,5.050000000000001,1988-04-11 12:11:31.030000+00:00,1988-10-29 09:10:52.550000+00:00,2
1988,5,26.7214,86.6344,39.760000000000005,4.5600000000000005,1988-04-25 16:04:02.760000+00:00,1988-09-02 06:35:33.130000+00:00,5
1988,6,27.295,88.4255,38.2,4.85,1988-05-26 16:30:05.770000+00:00,1988-09-27 19:10:10.700000+00:00,2
1989,1,30.122857142857146,90.06871428571428,16.571428571428573,3.9857142857142853,1989-02-03 22:10:01.650000+00:00,1989-04-19 16:40:28.380000+00:00,7
1989,2,26.973,92.72966666666667,48.56666666666666,4.766666666666667,1989-02-28 00:26:41.180000+00:00,1989-09-19 17:07:46.150000+00:00,3
1989,3,28.096,83.991,33.0,4.35,1989-03-01 22:52:49.570000+00:00,1989-03-08 07:21:26.040000+00:00,2
1990,1,29.205000000000002,90.07900000000001,15.333333333333334,4.6000000000000005,1990-02-18 18:12:47.270000+00:00,1990-02-23 14:25:18.390000+00:00,3
1990,2,32.345,92.80933333333333,25.333333333333332,4.333333333333333,1990-05-13 04:43:48.990000+00:00,1990-12-01 09:20:51.110000+00:00,3
1990,3,28.28533333333333,83.16000000000001,53.96666666666667,4.7,1990-05-20 09:10:02.320000+00:00,1990-12-20 17:04:44.080000+00:00,3
1990,4,26.631999999999998,92.626,39.45,5.1,1990-09-02 06:29:24.830000+00:00,1990-12-29 19:24:12.150000+00:00,2
1990,5,30.777250000000002,86.30850000000001,10.5,4.8500000000000005,1990-10-14 09:52:41.010000+00:00,1990-11-09 19:13:39.680000+00:00,4
1991,1,30.602999999999998,79.45533333333333,33.0,4.266666666666667,1991-02-12 14:02:56.300000+00:00,1991-10-15 19:11:00.950000+00:00,3
1991,2,31.6645,80.092,33.3,4.55,1991-05-18 04:52:19.070000+00:00,1991-05-18 06:59:22.130000+00:00,2
1991,3,31.19033333333333,86.70366666666666,33.0,4.433333333333334,1991-05-20 00:20:39.920000+00:00,1991-06-15 17:42:12.510000+00:00,3
1991,4,29.31833333333333,80.30566666666667,58.53333333333334,4.566666666666666,1991-05-26 05:29:14.870000+00:00,1991-06-10 21:30:11.950000+00:00,3
1991,5,30.7875,78.7425,30.1875,4.3875,1991-08-16 01:23:27.540000+00:00,1991-10-27 00:40:23.370000+00:00,8
1992,1,30.813666666666666,78.42233333333333,33.0,4.166666666666667,1992-03-02 14:48:18.150000+00:00,1992-08-09 15:16:30.650000+00:00,3
1992,2,31.863999999999997,83.7755,42.35,4.35,1992-04-01 20:54:03.780000+00:00,1992-11-26 12:44:34.290000+00:00,2
1992,3,29.865,90.29016666666666,29.166666666666668,4.316666666666666,1992-07-30 09:07:39.190000+00:00,1992-08-08 19:50:42.630000+00:00,6
1992,4,27.645000000000003,93.005,50.7,4.45,1992-10-31 01:56:05.240000+00:00,1992-11-11 05:27:31.050000+00:00,2
1993,1,30.955,90.22583333333334,33.0,4.266666666666667,1993-01-18 13:28:06.620000+00:00,1993-02-16 17:21:06.130000+00:00,6
1993,2,29.0425,87.366,20.6,5.15,1993-03-20 21:26:39.450000+00:00,1993-03-31 13:44:10.110000+00:00,2
1993,3,28.256999999999998,82.831,33.0,4.550000000000001,1993-04-12 00:57:57.980000+00:00,1993-11-22 00:27:06.820000+00:00,2
1993,4,27.675,92.777,33.0,4.65,1993-06-23 17:19:26.750000+00:00,1993-09-20 07:40:54.980000+00:00,2
1993,5,28.423000000000002,86.737,33.0,4.65,1993-07-03 02:00:22.230000+00:00,1993-12-14 02:27:44.390000+00:00,2
1993,6,27.947999999999997,85.053,33.0,4.233333333333333,1993-07-05 21:41:45.980000+00:00,1993-07-05 22:11:09.840000+00:00,3
1993,7,31.8765,81.9755,33.0,4.65,1993-07-06 20:07:49.880000+00:00,1993-07-17 17:55:34.410000+00:00,2
1993,8,31.176000000000002,83.73733333333332,27.266666666666666,4.5,1993-09-12 08:03:36.870000+00:00,1993-09-16 20:42:54.620000+00:00,3
1993,9,28.749499999999998,82.268,35.2,5.05,1993-10-20 07:23:38.640000+00:00,1993-10-20 16:15:59.680000+00:00,2
1994,1,31.7015,80.1975,34.05,4.65,1994-07-31 23:53:36.580000+00:00,1994-08-01 02:25:14.470000+00:00,2
1995,1,28.599,83.418,21.5,4.3,1995-01-19 06:33:15.330000+00:00,1995-10-27 11:33:23.450000+00:00,2
1995,2,30.126333333333335,88.12275,31.358333333333334,4.3500000000000005,1995-02-02 10:40:31.280000+00:00,1995-12-27 04:15:01.130000+00:00,12
1995,3,30.822,90.4315,33.0,4.5,1995-03-21 10:03:25.020000+00:00,1995-03-26 12:04:15.040000+00:00,2
1995,4,28.783,87.95349999999999,33.0,4.3,1995-03-24 08:12:39.960000+00:00,1995-12-11 09:49:29.890000+00:00,2
1995,5,27.5015,92.40950000000001,33.0,4.7,1995-03-26 18:22:35.180000+00:00,1995-07-03 00:59:47.960000+00:00,2
1995,6,29.861,81.55760000000001,26.2,4.5,1995-04-17 01:32:45.040000+00:00,1995-08-08 19:09:57.430000+00:00,5
1995,7,31.113,86.786,33.0,4.566666666666666,1995-06-28 21:46:52.200000+00:00,1995-11-26 04:37:44.890000+00:00,3
1996,1,28.92,86.423,33.0,4.0,1996-01-11 15:29:53.540000+00:00,1996-01-19 12:26:17.220000+00:00,2
1996,2,30.605,79.2025,36.6,4.25,1996-01-23 17:34:41+00:00,1996-08-03 13:33:24.220000+00:00,4
1996,3,30.11366666666667,84.01299999999999,33.0,4.033333333333333,1996-02-18 19:19:24.080000+00:00,1996-04-14 12:59:00.250000+00:00,3
1996,4,28.1085,87.3595,33.0,4.3,1996-02-22 01:11:27.330000+00:00,1996-10-03 01:29:03.110000+00:00,2
1996,5,30.089188679245286,88.12983018867925,32.60188679245283,4.286792452830189,1996-03-12 21:20:15.270000+00:00,1996-10-14 14:49:12.740000+00:00,53
1996,6,27.1,88.268,33.0,4.25,1996-03-23 16:07:34.230000+00:00,1996-09-13 03:41:08.660000+00:00,2
1996,7,29.067999999999998,91.8805,33.0,4.0,1996-05-21 00:35:44.410000+00:00,1996-11-11 20:23:48.960000+00:00,2
1996,8,26.9152,92.4302,36.18,4.4,1996-05-21 19:51:38.140000+00:00,1996-11-24 00:52:08.560000+00:00,5
1996,9,29.143,81.64800000000001,33.0,3.8666666666666667,1996-07-10 17:41:35.230000+00:00,1996-12-29 21:51:32.730000+00:00,3
1996,10,31.345,87.69800000000001,33.0,4.15,1996-07-23 21:51:37.640000+00:00,1996-07-24 13:39:25.830000+00:00,2
1996,11,27.5445,92.62700000000001,33.0,4.65,1996-09-11 23:14:14.950000+00:00,1996-09-14 02:09:19.180000+00:00,2
1996,12,30.594,78.44550000000001,33.0,4.699999999999999,1996-09-14 02:12:07.230000+00:00,1996-09-25 07:12:23.060000+00:00,2
1996,13,29.2945,81.706,54.85,4.8,1996-11-04 20:43:55.170000+00:00,1996-11-08 00:54:13.290000+00:00,2
1997,1,30.258499999999998,87.906,33.0,3.5,1997-01-08 19:56:12.580000+00:00,1997-03-22 21:14:39.180000+00:00,2
1997,2,29.963600000000003,88.2282,33.0,4.18,1997-01-25 20:08:28.740000+00:00,1997-09-13 18:38:09.500000+00:00,5
1997,3,27.942500000000003,85.10249999999999,21.5,4.45,1997-01-31 17:09:15.910000+00:00,1997-03-24 21:28:06.090000+00:00,2
1997,4,27.879333333333335,85.06400000000001,18.833333333333332,3.8666666666666667,1997-01-31 20:55:53.180000+00:00,1997-02-03 10:38:13.800000+00:00,3
1997,5,27.299500000000002,92.5635,33.0,4.45,1997-03-10 17:50:36.950000+00:00,1997-03-10 17:55:14.440000+00:00,2
1997,6,30.057499999999997,86.14150000000001,33.0,4.45,1997-04-05 17:31:51.200000+00:00,1997-08-16 20:30:55.060000+00:00,2
1997,7,27.58,86.5215,33.0,4.35,1997-04-07 13:00:42.180000+00:00,1997-10-11 10:11:10.340000+00:00,2
1997,8,27.5465,87.261,33.0,5.05,1997-11-27 16:11:57.070000+00:00,1997-12-08 02:03:55.840000+00:00,2
1998,1,27.8187,86.761,33.0,4.3,1998-02-01 17:32:48.220000+00:00,1998-09-26 20:48:44.110000+00:00,10
1998,2,30.156824999999998,88.084225,32.89,4.35,1998-02-22 22:45:24.880000+00:00,1998-10-24 13:19:53.200000+00:00,40
1998,3,31.1185,77.73599999999999,33.0,3.9,1998-03-19 17:01:32.730000+00:00,1998-03-19 17:13:19.600000+00:00,2
1998,4,30.375500000000002,89.2535,33.0,4.8,1998-06-06 11:06:27.170000+00:00,1998-06-06 11:13:08.330000+00:00,2
1998,5,27.439999999999998,91.00200000000001,27.65,5.2,1998-07-08 03:44:59.330000+00:00,1998-08-18 04:10:20.690000+00:00,2
1998,6,30.1065,88.14099999999999,33.1,5.85,1998-07-20 01:05:58.350000+00:00,1998-08-25 07:41:40.190000+00:00,2
1998,7,27.756,92.76050000000001,33.0,4.85,1998-09-26 18:27:05.470000+00:00,1998-09-28 21:31:05.610000+00:00,2
1999,1,28.651,78.4195,33.0,3.95,1999-03-16 22:27:52.740000+00:00,1999-03-23 07:29:53.370000+00:00,2
1999,2,30.30394117647059,79.34070588235294,11.352941176470589,4.747058823529412,1999-03-28 19:36:05.510000+00:00,1999-05-14 08:31:03.600000+00:00,17
1999,3,32.346500000000006,92.024,33.0,3.85,1999-04-02 07:41:25.880000+00:00,1999-04-02 09:39:28.330000+00:00,2
1999,4,31.179000000000002,77.483,33.0,4.45,1999-09-12 09:00:08.160000+00:00,1999-11-08 21:45:15.640000+00:00,2
1999,5,30.243000000000002,87.9025,33.0,4.199999999999999,1999-10-03 06:38:41.980000+00:00,1999-12-25 00:45:24.350000+00:00,2
1999,6,31.103,86.355,33.0,3.75,1999-12-21 17:17:30.820000+00:00,1999-12-29 09:05:34.970000+00:00,2
2000,1,27.611,92.56450000000001,33.0,5.1,2000-01-02 10:23:58.980000+00:00,2000-01-25 16:43:22.950000+00:00,2
2000,2,32.242,92.851,33.0,4.0,2000-01-05 13:08:17.760000+00:00,2000-12-14 08:54:22.900000+00:00,2
2000,3,31.2515,86.6,33.0,4.0,2000-01-11 09:40:09.960000+00:00,2000-01-25 04:09:36.340000+00:00,2
2000,4,27.139499999999998,92.161,33.0,4.3,2000-01-25 16:37:33.930000+00:00,2000-07-17 06:52:11.620000+00:00,2
2000,5,27.5875,92.581,33.0,4.25,2000-01-25 17:29:56.880000+00:00,2000-01-26 21:11:55.600000+00:00,2
2000,6,30.328000000000003,88.2115,33.0,3.75,2000-03-26 15:58:34.130000+00:00,2000-04-10 15:02:08.520000+00:00,2
2000,7,31.875333333333334,78.383,34.166666666666664,4.7,2000-04-28 00:17:17.980000+00:00,2000-08-31 02:08:45.950000+00:00,3
2000,8,29.365000000000002,81.526,57.15,4.25,2000-05-05 22:48:19.830000+00:00,2000-10-09 01:21:10.850000+00:00,2
2000,9,30.9335,87.15350000000001,33.0,4.225,2000-05-23 18:29:17.550000+00:00,2000-06-03 02:39:08.890000+00:00,4
2001,1,30.445999999999998,79.09450000000001,36.15,4.4,2001-03-12 11:34:18.010000+00:00,2001-08-09 05:56:22.860000+00:00,2
2001,2,31.41075,85.65,48.175,4.2,2001-03-25 07:56:08.940000+00:00,2001-06-13 11:09:52.220000+00:00,4
2001,3,29.448125,81.650875,33.0,4.8625,2001-04-15 08:36:34.310000+00:00,2001-12-18 02:22:00.070000+00:00,8
2001,4,28.892,87.19200000000001,33.0,4.95,2001-04-28 10:37:56.570000+00:00,2001-04-29 10:39:05.170000+00:00,2
2001,5,31.424500000000002,86.3445,33.0,4.2,2001-12-02 11:00:36.740000+00:00,2001-12-03 06:38:26.120000+00:00,2
2002,1,29.85945,87.9194,33.644999999999996,4.345000000000001,2002-01-27 19:13:15.990000+00:00,2002-12-27 03:28:32.590000+00:00,20
2002,2,31.269,88.14699999999999,46.95,4.45,2002-02-06 07:53:29.620000+00:00,2002-10-11 21:07:10.090000+00:00,2
2002,3,29.165,86.941,33.0,4.4,2002-04-02 19:34:14.790000+00:00,2002-04-02 19:57:21.290000+00:00,2
2002,4,30.7965,86.3295,42.15,4.15,2002-05-03 13:55:45.050000+00:00,2002-12-30 16:46:27.570000+00:00,2
2002,5,30.398199999999996,81.3364,33.0,4.11,2002-06-04 14:47:16.310000+00:00,2002-08-14 13:01:33.860000+00:00,10
2002,6,27.990333333333336,87.472,33.0,4.0,2002-07-16 18:39:24.490000+00:00,2002-10-29 17:26:33.450000+00:00,3
2002,7,27.4195,92.7495,73.55,4.5,2002-08-20 08:46:26.900000+00:00,2002-11-14 02:59:22.370000+00:00,2
2002,8,29.70414285714286,90.45785714285715,16.571428571428573,4.3428571428571425,2002-11-16 08:52:21.060000+00:00,2002-12-16 00:48:09.830000+00:00,7
2003,1,28.66,81.9975,33.0,4.25,2003-01-18 10:31:48.640000+00:00,2003-07-28 02:44:59.980000+00:00,2
2003,2,29.9015,87.944,33.0,4.05,2003-01-21 17:09:26.390000+00:00,2003-02-26 23:40:50.710000+00:00,2
2003,3,30.66925,86.098,33.0,4.15,2003-06-03 03:33:31.840000+00:00,2003-11-14 08:17:55.610000+00:00,4
2003,4,30.3545,83.1905,33.0,4.35,2003-11-15 14:43:59.540000+00:00,2003-12-10 17:17:37.330000+00:00,2
2003,5,28.25866666666667,83.76899999999999,32.06666666666666,4.2,2003-11-22 05:07:05.740000+00:00,2003-11-23 19:15:05.590000+00:00,3
2003,6,31.5745,78.17699999999999,33.0,4.45,2003-12-15 22:54:20.320000+00:00,2003-12-15 23:56:07.980000+00:00,2
2004,1,28.506,82.6545,28.4,4.0,2004-05-29 12:09:38.870000+00:00,2004-05-29 12:22:15.630000+00:00,2
2004,2,29.93525,87.997,31.9,4.275,2004-06-24 10:03:28.600000+00:00,2004-08-21 09:08:52.370000+00:00,8
2004,3,30.649,83.56485714285714,17.7,4.557142857142857,2004-07-11 23:24:03.580000+00:00,2004-12-02 23:45:55.200000+00:00,7
2004,4,30.977800000000002,81.2404,25.279999999999998,4.34,2004-09-06 08:46:35.950000+00:00,2004-12-05 13:04:38.080000+00:00,5
2004,5,32.083,92.7556,14.280000000000001,4.5,2004-10-26 11:13:02.660000+00:00,2004-12-06 09:05:49.470000+00:00,5
2005,1,29.5425,80.8305,10.0,4.699999999999999,2005-01-15 22:32:48.190000+00:00,2005-01-16 08:43:46.800000+00:00,2
2005,2,27.429000000000002,92.6925,54.05,3.6,2005-01-21 13:25:52.740000+00:00,2005-01-21 13:50:21.610000+00:00,2
2005,3,27.79,86.05250000000001,14.5,4.15,2005-02-08 01:51:35.940000+00:00,2005-02-08 04:13:56.390000+00:00,2
2005,4,30.314884615384617,83.5245,21.430769230769233,4.226923076923077,2005-03-06 03:22:43.610000+00:00,2005-10-10 19:51:54.520000+00:00,26
2005,5,31.6545,92.6555,19.4,4.449999999999999,2005-05-15 19:21:49.060000+00:00,2005-06-03 14:57:27.040000+00:00,2
2005,6,31.311666666666667,88.18466666666667,24.666666666666668,4.433333333333334,2005-05-30 10:57:29.930000+00:00,2005-08-20 14:07:09.120000+00:00,3
2005,7,30.441,79.203,27.0,4.85,2005-09-05 01:45:43+00:00,2005-12-14 07:09:54.190000+00:00,2
2005,8,29.662333333333333,81.76733333333333,48.36666666666667,4.766666666666667,2005-10-29 23:32:10.440000+00:00,2005-11-06 01:36:56.670000+00:00,3
2005,9,29.225,82.1825,22.5,4.65,2005-12-10 05:39:33.640000+00:00,2005-12-12 17:34:14.660000+00:00,2
